Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
479,+AC0-100,33,4038,0,0,0,0,0,4038,0,0,0,+AC0-310,0,0,0,267,267,267,0,0,0,0,0,0,75
1477,+AC0-56,1434,4038,0,0,0,0,0,4038,0,0,0,+AC0-310,0,0,0,269,267,269,0,0,0,0,0,1,
2479,+AC0-6,73,4038,0,0,0,0,0,4038,0,0,0,+AC0-310,0,0,0,267,267,267,0,0,0,0,0,1,
3477,44,1462,2252,0,0,0,0,0,2252,0,0,0,+AC0-310,0,0,0,269,267,267,0,0,0,0,0,167,
4476,94,1238,1783,0,0,0,0,0,1783,0,0,0,+AC0-310,0,0,0,273,271,300,0,0,0,0,0,49,
5478,143,1271,1246,0,0,0,0,0,1246,0,0,0,+AC0-310,0,0,0,336,282,977,0,0,0,0,0,156,
6479,194,103,1124,0,0,0,0,0,1124,0,0,0,+AC0-310,0,0,0,409,300,979,0,0,0,0,0,661,
7478,243,42,992,0,0,0,0,0,992,0,0,0,+AC0-310,0,0,0,467,317,992,0,0,0,0,0,1538,
8477,293,2507,890,0,0,0,0,0,890,0,0,0,+AC0-310,0,0,0,500,334,998,0,0,0,0,0,1204,
9479,342,1579,909,0,0,0,0,0,909,0,0,0,+AC0-310,0,0,0,520,348,1030,0,0,0,0,0,1061,
10478,392,385,785,0,0,0,0,0,785,0,0,0,+AC0-310,0,0,0,533,361,1091,0,0,0,0,0,1379,
11476,440,291,766,0,0,0,0,0,766,0,0,0,+AC0-310,0,0,0,539,369,1213,0,0,0,0,0,1843,
12478,491,1468,842,0,0,0,0,0,842,0,0,0,+AC0-310,0,0,0,549,380,1310,0,0,0,0,0,1689,
13478,540,2184,189,0,0,0,0,0,189,0,0,0,+AC0-310,0,0,0,558,394,1371,0,0,0,0,0,2023,
14479,589,48,134,0,0,0,0,0,134,0,0,0,+AC0-310,0,0,0,564,400,1339,0,0,0,0,0,2346,
15477,636,35,139,0,0,0,0,0,139,0,0,0,+AC0-310,0,0,0,567,413,1264,0,0,0,0,0,2528,
16478,683,30,223,0,0,0,0,0,223,0,0,0,+AC0-310,0,0,0,567,426,1201,0,0,0,0,0,2451,
17477,724,494,224,0,0,0,0,0,224,0,0,0,+AC0-310,0,0,0,571,435,1165,0,0,0,0,0,2260,
18479,785,1524,283,0,0,0,0,0,283,0,0,0,+AC0-310,0,0,0,573,445,1150,0,0,0,0,0,1849,
19478,836,279,261,0,0,0,0,0,261,0,0,0,+AC0-310,0,0,0,579,456,1139,0,0,0,0,0,1604,
20479,887,24,283,0,0,0,0,0,283,0,0,0,+AC0-310,0,0,0,584,469,1140,0,0,0,0,0,1312,
21478,937,43,262,0,0,0,0,0,262,0,0,0,+AC0-310,0,0,0,598,479,1148,0,0,0,0,0,1046,
22478,963,2078,250,0,0,0,0,0,250,0,0,0,+AC0-310,0,0,0,598,488,1156,0,0,0,0,0,823,
23479,963,692,259,0,0,0,0,0,259,0,0,0,+AC0-310,0,0,0,613,501,1158,0,0,0,0,0,773,
24478,963,459,270,0,0,0,0,0,270,0,0,0,+AC0-310,0,0,0,620,511,1173,0,0,0,0,0,752,
25476,963,631,306,0,0,0,0,0,306,0,0,0,+AC0-310,0,0,0,630,516,1192,0,0,0,0,0,734,
26476,963,2335,279,0,0,0,0,0,279,0,0,0,+AC0-310,0,0,0,639,530,1213,0,0,0,0,0,706,
27476,963,2366,295,0,0,0,0,0,295,0,0,0,+AC0-310,0,0,0,652,539,1232,0,0,0,0,0,691,
28476,963,2417,303,0,0,0,0,0,303,0,0,0,+AC0-310,0,0,0,662,550,1260,0,0,0,0,0,677,
