Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
176,+AC0-200,37,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,269,271,280,0,0,0,0,0,137,75
1176,+AC0-141,901,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,269,273,275,0,0,0,0,0,137,
2174,+AC0-42,2190,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,271,269,278,0,0,0,0,0,137,
3177,60,2116,4042,0,0,0,0,0,4042,0,0,0,+AC0-310,0,0,0,271,271,269,0,0,0,0,0,137,
4176,158,902,1892,0,0,0,0,0,1892,0,0,0,+AC0-310,0,0,0,278,275,1909,0,0,0,0,0,137,
5177,259,1094,1594,0,0,0,0,0,1594,0,0,0,+AC0-310,0,0,0,330,278,2838,0,0,0,0,0,137,
6176,357,702,1378,0,0,0,0,0,1378,0,0,0,+AC0-310,0,0,0,413,292,2840,0,0,0,0,0,137,
7174,457,1952,1069,0,0,0,0,0,1069,0,0,0,+AC0-310,0,0,0,498,305,2986,0,0,0,0,0,1176,
8177,555,495,1081,0,0,0,0,0,1081,0,0,0,+AC0-310,0,0,0,567,321,2557,0,0,0,0,0,1479,
9177,655,27,172,0,0,0,0,0,172,0,0,0,+AC0-310,0,0,0,616,334,1749,0,0,0,0,0,1752,
10176,753,1361,252,0,0,0,0,0,252,0,0,0,+AC0-310,0,0,0,647,357,1434,0,0,0,0,0,1712,
11174,850,1461,305,0,0,0,0,0,305,0,0,0,+AC0-310,0,0,0,667,375,1314,0,0,0,0,0,1387,
12175,951,370,296,0,0,0,0,0,296,0,0,0,+AC0-310,0,0,0,673,390,1099,0,0,0,0,0,1047,
13175,966,400,304,0,0,0,0,0,304,0,0,0,+AC0-310,0,0,0,677,407,992,0,0,0,0,0,857,
14175,966,1101,289,0,0,0,0,0,289,0,0,0,+AC0-310,0,0,0,675,420,969,0,0,0,0,0,817,
15174,966,182,286,0,0,0,0,0,286,0,0,0,+AC0-310,0,0,0,681,437,973,0,0,0,0,0,790,
16174,966,2411,338,0,0,0,0,0,338,0,0,0,+AC0-310,0,0,0,681,452,984,0,0,0,0,0,768,
17175,966,851,279,0,0,0,0,0,279,0,0,0,+AC0-310,0,0,0,686,471,994,0,0,0,0,0,749,
18174,966,440,289,0,0,0,0,0,289,0,0,0,+AC0-310,0,0,0,688,479,1009,0,0,0,0,0,733,
19175,966,1347,290,0,0,0,0,0,290,0,0,0,+AC0-310,0,0,0,696,494,1030,0,0,0,0,0,717,
20176,966,41,284,0,0,0,0,0,284,0,0,0,+AC0-310,0,0,0,700,511,1049,0,0,0,0,0,701,
21174,966,104,295,0,0,0,0,0,295,0,0,0,+AC0-310,0,0,0,707,528,1070,0,0,0,0,0,687,
22177,966,1570,300,0,0,0,0,0,300,0,0,0,+AC0-310,0,0,0,713,543,1095,0,0,0,0,0,672,
23177,966,2340,299,0,0,0,0,0,299,0,0,0,+AC0-310,0,0,0,724,554,1112,0,0,0,0,0,657,
24175,966,2372,287,0,0,0,0,0,287,0,0,0,+AC0-310,0,0,0,735,569,1142,0,0,0,0,0,642,
25176,966,54,279,0,0,0,0,0,279,0,0,0,+AC0-310,0,0,0,745,586,1161,0,0,0,0,0,628,
26175,966,2182,292,0,0,0,0,0,292,0,0,0,+AC0-310,0,0,0,760,601,1188,0,0,0,0,0,613,
27177,966,2307,310,0,0,0,0,0,310,0,0,0,+AC0-310,0,0,0,771,613,1215,0,0,0,0,0,599,
28177,966,526,379,0,0,0,0,0,379,0,0,0,+AC0-310,0,0,0,786,632,1247,0,0,0,0,0,585,
29174,966,291,302,0,0,0,0,0,302,0,0,0,+AC0-310,0,0,0,805,641,1283,0,0,0,0,0,570,
30176,966,97,299,0,0,0,0,0,299,0,0,0,+AC0-310,0,0,0,820,660,1306,0,0,0,0,0,555,
31174,966,40,344,0,0,0,0,0,344,0,0,0,+AC0-310,0,0,0,835,673,1337,0,0,0,0,0,540,
32175,966,89,344,0,0,0,0,0,344,0,0,0,+AC0-310,0,0,0,850,692,1380,0,0,0,0,0,525,
33178,966,37,324,0,0,0,0,0,324,0,0,0,+AC0-310,0,0,0,869,707,1434,0,0,0,0,0,501,
34174,966,25,342,0,0,0,0,0,342,0,0,0,+AC0-310,0,0,0,888,718,1487,0,0,0,0,0,483,
35176,966,2352,332,0,0,0,0,0,332,0,0,0,+AC0-310,0,0,0,905,737,1530,0,0,0,0,0,465,
36177,966,1468,346,0,0,0,0,0,346,0,0,0,+AC0-310,0,0,0,922,752,1563,0,0,0,0,0,446,
37176,966,2276,311,0,0,0,0,0,311,0,0,0,+AC0-310,0,0,0,947,766,1590,0,0,0,0,0,426,
38177,966,460,325,0,0,0,0,0,325,0,0,0,+AC0-310,0,0,0,964,781,1617,0,0,0,0,0,407,
39177,966,46,284,0,0,0,0,0,284,0,0,0,+AC0-310,0,0,0,990,800,1664,0,0,0,0,0,383,
40174,966,1102,306,0,0,0,0,0,306,0,0,0,+AC0-310,0,0,0,1011,816,1669,0,0,0,0,0,356,
41176,966,251,315,0,0,0,0,0,315,0,0,0,+AC0-310,0,0,0,1038,830,1679,0,0,0,0,0,335,
42176,966,2404,306,0,0,0,0,0,306,0,0,0,+AC0-310,0,0,0,1060,847,1693,0,0,0,0,0,314,
43177,966,2183,300,0,0,0,0,0,300,0,0,0,+AC0-310,0,0,0,1081,866,1700,0,0,0,0,0,295,
44177,966,338,325,0,0,0,0,0,325,0,0,0,+AC0-310,0,0,0,1104,884,1708,0,0,0,0,0,279,
45175,966,137,318,0,0,0,0,0,318,0,0,0,+AC0-310,0,0,0,1135,901,1708,0,0,0,0,0,264,
46178,966,1596,323,0,0,0,0,0,323,0,0,0,+AC0-310,0,0,0,1152,918,1706,0,0,0,0,0,247,
47174,966,34,284,0,0,0,0,0,284,0,0,0,+AC0-310,0,0,0,1177,937,1699,0,0,0,0,0,231,
48177,966,329,268,0,0,0,0,0,268,0,0,0,+AC0-310,0,0,0,1198,954,1683,0,0,0,0,0,219,
49174,966,63,226,0,0,0,0,0,226,0,0,0,+AC0-310,0,0,0,1222,971,1662,0,0,0,0,0,207,
50177,966,82,256,0,0,0,0,0,256,0,0,0,+AC0-310,0,0,0,1240,988,1640,0,0,0,0,0,201,
51177,966,411,285,0,0,0,0,0,285,0,0,0,+AC0-310,0,0,0,1251,1011,1623,0,0,0,0,0,196,
52176,966,1719,202,0,0,0,0,0,202,0,0,0,+AC0-310,0,0,0,1270,1032,1603,0,0,0,0,0,191,
53175,966,43,174,0,0,0,0,0,174,0,0,0,+AC0-310,0,0,0,1274,1051,1574,0,0,0,0,0,188,
54174,966,164,151,0,0,0,0,0,151,0,0,0,+AC0-310,0,0,0,1285,1070,1545,0,0,0,0,0,187,
55176,966,2133,140,0,0,0,0,0,140,0,0,0,+AC0-310,0,0,0,1281,1087,1514,0,0,0,0,0,184,
56175,966,2029,113,0,0,0,0,0,113,0,0,0,+AC0-310,0,0,0,1289,1108,1489,0,0,0,0,0,182,
57174,966,494,88,0,0,0,0,0,88,0,0,0,+AC0-310,0,0,0,1285,1121,1460,0,0,0,0,0,180,
58176,966,24,71,0,0,0,0,0,71,0,0,0,+AC0-310,0,0,0,1285,1129,1434,0,0,0,0,0,178,
59176,966,390,59,0,0,0,0,0,59,0,0,0,+AC0-310,0,0,0,1281,1140,1413,0,0,0,0,0,173,
60177,966,25,50,0,0,0,0,0,50,0,0,0,+AC0-310,0,0,0,1272,1146,1400,0,0,0,0,0,172,
61176,966,569,45,0,0,0,0,0,45,0,0,0,+AC0-310,0,0,0,1264,1150,1386,0,0,0,0,0,172,
62176,966,157,41,0,0,0,0,0,41,0,0,0,+AC0-310,0,0,0,1253,1156,1379,0,0,0,0,0,172,
63175,966,65,39,0,0,0,0,0,39,0,0,0,+AC0-310,0,0,0,1245,1161,1369,0,0,0,0,0,172,
64174,966,1719,41,0,0,0,0,0,41,0,0,0,+AC0-310,0,0,0,1234,1163,1369,0,0,0,0,0,172,
65177,966,81,41,0,0,0,0,0,41,0,0,0,+AC0-310,0,0,0,1228,1165,1358,0,0,0,0,0,172,
66175,966,687,39,0,0,0,0,0,39,0,0,0,+AC0-310,0,0,0,1220,1163,1356,0,0,0,0,0,171,
67174,966,1103,39,0,0,0,0,0,39,0,0,0,+AC0-310,0,0,0,1217,1163,1352,0,0,0,0,0,170,
68177,966,1430,38,0,0,0,0,0,38,0,0,0,+AC0-310,0,0,0,1209,1163,1346,0,0,0,0,0,169,
69175,966,234,37,0,0,0,0,0,37,0,0,0,+AC0-310,0,0,0,1205,1165,1344,0,0,0,0,0,167,
70177,966,188,37,0,0,0,0,0,37,0,0,0,+AC0-310,0,0,0,1200,1165,1340,0,0,0,0,0,165,
71176,966,90,36,0,0,0,0,0,36,0,0,0,+AC0-310,0,0,0,1194,1167,1339,0,0,0,0,0,163,
72174,966,2437,35,0,0,0,0,0,35,0,0,0,+AC0-310,0,0,0,1190,1165,1339,0,0,0,0,0,162,
