Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force
855,-101,1834,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,307,0,0,0,0,0,0,109
1856,-100,1711,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,118
2853,-99,32,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,118
3853,-98,21,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,118
4854,-97,310,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,313,0,0,0,0,0,0,118
5854,-96,15,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,118
6855,-95,877,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,118
7855,-94,46,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,311,0,0,0,0,0,0,118
8856,-93,2069,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,313,0,0,0,0,0,0,118
9853,-92,257,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,307,0,0,0,0,0,0,118
10853,-91,1559,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,118
11854,-90,1534,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,118
12854,-89,1600,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,118
13855,-88,1439,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,0
14855,-87,138,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,0
15856,-87,64,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,0
16853,-86,1217,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,307,307,0,0,0,0,0,0,1
17853,-84,1086,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,1
18854,-83,1896,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
19854,-82,48,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
20855,-82,1860,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,305,0,0,0,0,0,0,1
21856,-81,581,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
22856,-80,146,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
23853,-79,866,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
24854,-77,17,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,1
25854,-77,167,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,1
26855,-75,1674,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
27855,-74,254,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
28856,-73,1880,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,1
29853,-73,115,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,307,309,0,0,0,0,0,0,1
30854,-71,119,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,1
31854,-71,126,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,309,0,0,0,0,0,0,1
32855,-70,25,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,1
33855,-69,16,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,1
34856,-68,611,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,309,0,0,0,0,0,0,1
35856,-67,1955,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,0
36853,-66,15,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
37854,-65,492,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,1
38854,-64,47,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,0
39855,-63,88,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,307,0,0,0,0,0,0,1
40855,-62,21,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,313,0,0,0,0,0,0,1
41856,-61,1992,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,307,0,0,0,0,0,0,0
42853,-60,838,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,311,0,0,0,0,0,0,1
43853,-59,167,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
44854,-58,28,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
45855,-57,829,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,311,0,0,0,0,0,0,0
46855,-56,1683,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
47856,-55,974,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,0
48853,-54,680,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,1
49853,-53,1673,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,307,0,0,0,0,0,0,0
50854,-52,141,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1
51855,-51,1734,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,0
52855,-50,225,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,0
53856,-49,509,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,1
54853,-48,1836,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,307,0,0,0,0,0,0,1
55853,-47,587,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
56853,-46,120,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,0
57854,-45,254,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,301,309,0,0,0,0,0,0,0
58855,-44,1592,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,313,0,0,0,0,0,0,0
59855,-43,22,3790,0,0,0,0,0,3790,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,1
