"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"673","-948","52","4279","0","0","0","0","0","4279","0","0","0","-310","0","0","0","273","275","0","0","0","0","0","0","0"
"1676","-451","1589","4279","0","0","0","0","0","4279","0","0","0","-310","0","0","0","276","275","0","0","0","0","0","0","0"
"2674","56","1185","3680","0","0","0","0","0","3680","0","0","0","-310","0","0","0","276","278","0","0","0","0","0","0","31"
"3677","98","96","2804","0","0","0","0","0","2804","0","0","0","-310","0","0","0","422","276","0","0","0","0","0","0","72"
"4674","98","1493","1859","0","0","0","0","0","1859","0","0","0","-310","0","0","0","1055","284","0","0","0","0","0","0","13"
"5673","98","1464","777","0","0","0","0","0","777","0","0","0","-310","0","0","0","1190","355","0","0","0","0","0","0","25"
"6676","98","146","2","0","0","0","0","0","2","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","25"
"7675","98","256","17","0","0","0","0","0","17","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"8676","98","47","19","0","0","0","0","0","19","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"9673","98","788","18","0","0","0","0","0","18","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"10675","98","1831","13","0","0","0","0","0","13","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"11676","98","29","10","0","0","0","0","0","10","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"12674","98","2260","13","0","0","0","0","0","13","0","0","0","-310","0","0","0","30834","30834","0","0","0","0","0","0","7"
"13676","98","1019","12","0","0","0","0","0","12","0","0","0","-310","0","0","0","2440","2842","0","0","0","0","0","0","7"
"14674","98","2202","11","0","0","0","0","0","11","0","0","0","-310","0","0","0","1380","1561","0","0","0","0","0","0","7"
"15673","98","54","11","0","0","0","0","0","11","0","0","0","-310","0","0","0","900","975","0","0","0","0","0","0","7"
"16676","98","142","10","0","0","0","0","0","10","0","0","0","-310","0","0","0","660","739","0","0","0","0","0","0","7"
"17674","98","351","10","0","0","0","0","0","10","0","0","0","-310","0","0","0","528","579","0","0","0","0","0","0","7"
"18674","98","68","9","0","0","0","0","0","9","0","0","0","-310","0","0","0","441","479","0","0","0","0","0","0","7"
"19676","98","367","9","0","0","0","0","0","9","0","0","0","-310","0","0","0","378","405","0","0","0","0","0","0","7"
"20673","98","2470","9","0","0","0","0","0","9","0","0","0","-310","0","0","0","340","365","0","0","0","0","0","0","7"
"21673","98","32","8","0","0","0","0","0","8","0","0","0","-310","0","0","0","317","338","0","0","0","0","0","0","7"
"22674","98","113","8","0","0","0","0","0","8","0","0","0","-310","0","0","0","303","321","0","0","0","0","0","0","7"
"23674","98","2339","8","0","0","0","0","0","8","0","0","0","-310","0","0","0","298","311","0","0","0","0","0","0","7"
"24674","98","832","8","0","0","0","0","0","8","0","0","0","-310","0","0","0","288","303","0","0","0","0","0","0","7"
"25673","98","428","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","284","298","0","0","0","0","0","0","7"
"26675","98","1125","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","280","292","0","0","0","0","0","0","7"
"27674","98","1862","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","278","286","0","0","0","0","0","0","7"
"28673","98","172","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","275","278","0","0","0","0","0","0","7"
"29675","98","47","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","275","276","0","0","0","0","0","0","7"
"30673","98","1669","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","273","275","0","0","0","0","0","0","7"
"31675","98","31","7","0","0","0","0","0","7","0","0","0","-310","0","0","0","273","276","0","0","0","0","0","0","7"
"32674","98","415","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","271","273","0","0","0","0","0","0","7"
"33676","98","349","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","269","269","0","0","0","0","0","0","7"
"34676","98","1185","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","269","269","0","0","0","0","0","0","7"
"35674","98","138","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","273","271","0","0","0","0","0","0","7"
"36673","98","118","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","271","271","0","0","0","0","0","0","7"
"37676","98","42","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","267","269","0","0","0","0","0","0","7"
"38674","98","2200","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","265","267","0","0","0","0","0","0","7"
"39673","98","1375","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","267","263","0","0","0","0","0","0","7"
"40675","98","210","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","267","265","0","0","0","0","0","0","7"
"41674","98","54","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","267","265","0","0","0","0","0","0","7"
"42676","98","1411","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","267","271","0","0","0","0","0","0","7"
"43675","98","1831","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","269","273","0","0","0","0","0","0","7"
"44673","98","1502","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","275","273","0","0","0","0","0","0","7"
"45675","98","123","6","0","0","0","0","0","6","0","0","0","-310","0","0","0","271","271","0","0","0","0","0","0","7"
