Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
628,+AC0-100,1652,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,286,0,0,0,0,0,0,0,100
1626,+AC0-100,1093,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,282,286,0,0,0,0,0,0,1,
2628,+AC0-99,2023,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,278,284,0,0,0,0,0,0,0,
3626,+AC0-98,25,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,284,0,0,0,0,0,0,1,
4628,+AC0-97,2093,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,286,0,0,0,0,0,0,0,
5626,+AC0-96,994,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,282,286,0,0,0,0,0,0,1,
6628,+AC0-95,736,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,282,286,0,0,0,0,0,0,1,
7626,+AC0-94,72,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,284,286,0,0,0,0,0,0,1,
8628,+AC0-93,995,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,282,284,0,0,0,0,0,0,0,
9626,+AC0-92,2356,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,284,286,0,0,0,0,0,0,1,
10628,+AC0-91,520,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,286,0,0,0,0,0,0,1,
11626,+AC0-90,964,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,288,0,0,0,0,0,0,1,
12629,+AC0-89,64,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,280,286,0,0,0,0,0,0,1,
13627,+AC0-88,150,4292,0,0,0,0,0,4292,0,0,0,+AC0-310,0,0,0,284,284,0,0,0,0,0,0,1,
