"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"52","-101","46","4291","0","0","0","0","0","4291","0","0","0","-310","0","0","0","282","290","0","0","0","0","0","0","29"
"1053","-100","206","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","288","0","0","0","0","0","0","0"
"2051","-100","24","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","288","0","0","0","0","0","0","0"
"3053","-99","2546","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","292","0","0","0","0","0","0","0"
"4052","-98","810","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","288","0","0","0","0","0","0","0"
"5050","-97","1941","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","288","0","0","0","0","0","0","0"
"6052","-96","132","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","290","0","0","0","0","0","0","0"
"7050","-95","1028","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","290","0","0","0","0","0","0","0"
"8052","-94","927","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","294","0","0","0","0","0","0","0"
"9053","-93","1539","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","290","0","0","0","0","0","0","0"
"10051","-92","910","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","290","0","0","0","0","0","0","0"
"11053","-91","1718","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","294","0","0","0","0","0","0","0"
"12052","-90","45","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","288","0","0","0","0","0","0","0"
"13050","-89","1173","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","292","0","0","0","0","0","0","0"
"14052","-88","74","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","290","0","0","0","0","0","0","0"
"15053","-87","168","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","294","0","0","0","0","0","0","0"
"16051","-86","275","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","288","0","0","0","0","0","0","0"
"17053","-85","2195","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","288","0","0","0","0","0","0","0"
"18051","-84","38","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","290","0","0","0","0","0","0","0"
"19053","-83","1607","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","284","292","0","0","0","0","0","0","0"
"20050","-82","1601","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","286","292","0","0","0","0","0","0","0"
"21052","-81","29","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","288","294","0","0","0","0","0","0","0"
"22051","-80","470","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","290","0","0","0","0","0","0","0"
"23053","-79","1630","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","282","288","0","0","0","0","0","0","0"
"24051","-78","2381","4290","0","0","0","0","0","4290","0","0","0","-310","0","0","0","288","294","0","0","0","0","0","0","0"
