Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
823,-101,1839,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,309,313,0,0,0,0,0,0,0,100
1824,-101,1140,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,309,309,0,0,0,0,0,0,0,100
2824,-100,1526,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,309,309,0,0,0,0,0,0,1,100
3825,-99,1189,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
4825,-98,2098,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
5822,-97,296,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
6822,-96,1893,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,303,311,0,0,0,0,0,0,0,100
7823,-95,1422,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,1,100
8823,-94,2445,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,309,0,0,0,0,0,0,0,100
9824,-93,219,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,1,100
10824,-92,19,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,0,100
11825,-91,175,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,309,0,0,0,0,0,0,0,100
12822,-90,42,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,0,100
13822,-89,768,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,311,0,0,0,0,0,0,1,100
14822,-88,1451,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
15823,-87,113,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
16824,-86,25,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,313,0,0,0,0,0,0,0,100
17824,-85,257,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,307,311,0,0,0,0,0,0,0,100
18824,-84,396,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,0,100
19825,-83,462,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,303,309,0,0,0,0,0,0,0,100
20822,-82,1580,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,309,0,0,0,0,0,0,0,100
21822,-81,55,4157,0,0,0,0,0,4157,0,0,0,-310,0,0,0,305,313,0,0,0,0,0,0,0,100
