Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
733,-100,2228,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
1733,-99,1562,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
2733,-98,156,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
3733,-97,233,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,278,0,0,0,0,0,0,0,75
4733,-96,350,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,275,0,0,0,0,0,0,0,75
5733,-96,36,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,276,0,0,0,0,0,0,0,75
6733,-94,46,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,276,0,0,0,0,0,0,0,75
7733,-94,79,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,275,276,0,0,0,0,0,0,0,75
8733,-92,1535,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
9740,-92,94,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,273,0,0,0,0,0,0,0,75
10733,-91,1046,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,275,0,0,0,0,0,0,0,75
11733,-90,1459,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
12733,-89,73,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
13733,-88,186,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,276,0,0,0,0,0,0,0,75
14730,-87,21,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
15733,-86,21,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,275,278,0,0,0,0,0,0,0,75
16733,-85,21,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,280,0,0,0,0,0,0,0,75
17733,-84,2158,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,276,0,0,0,0,0,0,0,75
18756,-82,387,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,278,0,0,0,0,0,0,0,75
19733,-82,45,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
20733,-81,53,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
21733,-80,571,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
22733,-79,353,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
23733,-78,543,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
24733,-77,1653,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
25733,-76,91,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
26733,-75,1060,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,278,0,0,0,0,0,0,0,75
27733,-74,401,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
28733,-73,22,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
29733,-72,633,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,275,0,0,0,0,0,0,0,75
30733,-71,108,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
31733,-70,2307,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
32733,-69,26,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,280,0,0,0,0,0,0,0,75
33733,-68,396,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,284,280,0,0,0,0,0,0,0,75
34733,-67,611,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
35755,-66,2239,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
36733,-65,1616,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
37755,-64,355,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,282,276,0,0,0,0,0,0,0,75
38733,-63,118,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
39733,-62,68,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,280,0,0,0,0,0,0,0,75
40730,-61,263,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,275,280,0,0,0,0,0,0,0,75
41733,-60,109,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,275,278,0,0,0,0,0,0,0,75
42733,-59,1644,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
43733,-58,1284,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,273,278,0,0,0,0,0,0,0,75
44756,-57,1818,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,276,275,0,0,0,0,0,0,0,75
45733,-56,2053,4050,0,0,0,0,0,4050,0,0,0,0,0,0,0,278,275,0,0,0,0,0,0,0,75
