Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
2674427,-101,2098,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,286,0,0,0,0,0,0,1,100
927,-101,132,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
1929,-100,298,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
2928,-99,83,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,286,0,0,0,0,0,0,1,100
3927,-98,2363,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
4929,-97,121,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
5928,-96,147,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
6927,-95,159,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,282,0,0,0,0,0,0,1,100
7928,-94,1747,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
8927,-93,67,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
9929,-92,248,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
10928,-91,462,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
11927,-90,120,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
12953,-89,2400,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
13928,-88,2334,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,282,0,0,0,0,0,0,1,100
14927,-87,195,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
15929,-86,1390,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
16928,-85,2222,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
17927,-84,1576,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
18929,-83,55,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
19928,-82,1023,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,282,0,0,0,0,0,0,1,100
20927,-81,279,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
21929,-80,1407,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
22928,-79,1104,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
23927,-78,1591,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
24929,-77,47,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,1,100
25928,-76,113,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,1,100
26927,-75,616,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
27929,-74,950,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,0,100
28928,-73,1972,4150,0,0,0,0,0,4150,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,1,100
