Time,Voltage,Temperature,Temperature,Temperature,Time,Current
Second,,,,,second,A
,Voltage,Edge,Center,Tip,,Leakage-Current
0,4.1755,24.6,24.7,23.6,0,0.0159
1,4.1755,24.6,24.8,23.6,1,0.0159
2,4.1755,24.7,24.8,23.6,2,0.0155
3,4.1755,24.7,24.8,23.6,3,0.0155
4,4.1755,24.7,24.8,23.6,4,0.0152
5,4.1755,24.6,24.8,23.6,5,0.015
6,4.175,24.6,24.7,23.6,6,0.0149
7,4.1755,24.6,24.7,23.5,7,0.015
8,4.176,24.8,24.9,23.6,8,0.0152
9,4.176,24.8,24.9,23.6,9,0.0149
10,4.176,24.8,24.9,23.6,10,0.015
11,4.1755,24.7,24.9,23.6,11,0.0152
12,4.1755,24.7,24.8,23.6,12,0.0152
13,4.1755,24.6,24.7,23.6,13,0.0151
14,4.176,24.6,24.8,23.6,14,0.0149
15,4.176,24.7,24.8,23.5,15,0.0147
16,4.176,24.8,24.9,23.6,16,0.0143
17,4.176,24.8,24.9,23.6,17,0.0143
18,4.176,24.8,24.9,23.6,18,0.0144
19,4.1755,24.6,24.7,23.5,19,0.0143
20,4.1755,24.6,24.7,23.5,20,0.0145
21,4.1755,24.6,24.8,23.6,21,0.0148
22,4.176,24.6,24.8,23.6,22,0.0146
23,4.176,24.7,24.8,23.6,23,0.0147
24,4.176,24.8,24.9,23.6,24,0.0147
25,4.1755,24.6,24.7,23.5,25,0.0145
26,4.1755,24.6,24.7,23.5,26,0.0145
27,4.1755,24.6,24.7,23.5,27,0.0144
28,4.176,24.6,24.8,23.5,28,0.0147
29,4.1765,24.7,24.8,23.5,29,0.0147
30,4.176,24.8,24.9,23.6,30,0.0145
31,4.175,24.6,24.7,23.5,31,0.0146
32,4.1755,24.6,24.7,23.5,32,0.0147
33,4.1755,24.6,24.7,23.5,33,0.0148
34,4.1755,24.6,24.8,23.5,34,0.0148
35,4.176,24.7,24.8,23.6,35,0.0148
36,4.176,24.8,24.9,23.6,36,0.0148
37,4.1755,24.6,24.7,23.6,37,0.0147
38,4.1755,24.6,24.8,23.6,38,0.0147
39,4.176,24.6,24.8,23.5,39,0.015
40,4.176,24.6,24.8,23.5,40,0.0149
41,4.176,24.6,24.8,23.6,41,0.0147
42,4.176,24.7,24.8,23.5,42,0.0146
43,4.1755,24.7,24.8,23.6,43,0.0145
44,4.1755,24.6,24.8,23.6,44,0.0146
45,4.175,24.6,24.8,23.6,45,0.0145
46,4.1755,24.6,24.7,23.5,46,0.0144
47,4.1755,24.6,24.7,23.6,47,0.0145
48,4.175,24.6,24.8,23.6,48,0.0143
49,4.1765,24.8,24.9,23.6,49,0.0142
50,4.176,24.8,24.9,23.6,50,0.0143
51,4.176,24.8,24.9,23.6,51,0.014
52,4.176,24.8,24.9,23.6,52,0.014
