Time,Voltage,Temperature,Temperature,Temperature,Time,Current
Second,,,,,second,A
,Voltage,Edge,Center,Tip,,Leakage-Current
0,4.1705,23.5,23.6,23.7,0,0.015
1,4.171,23.6,23.6,23.7,1,0.015
2,4.1705,23.7,23.7,23.8,2,0.0152
3,4.1705,23.7,23.7,23.7,3,0.0151
4,4.17,23.4,23.5,23.7,4,0.0151
5,4.17,23.5,23.6,23.7,5,0.015
6,4.1705,23.6,23.6,23.7,6,0.0151
7,4.171,23.7,23.7,23.7,7,0.0151
8,4.171,23.7,23.7,23.8,8,0.0152
9,4.1705,23.7,23.7,23.8,9,0.0151
10,4.1705,23.5,23.6,23.7,10,0.0151
11,4.1705,23.5,23.6,23.7,11,0.0151
12,4.1705,23.6,23.6,23.7,12,0.0149
13,4.171,23.7,23.7,23.7,13,0.0149
14,4.171,23.7,23.7,23.8,14,0.0149
15,4.1705,23.6,23.7,23.7,15,0.0147
16,4.1705,23.5,23.6,23.7,16,0.0147
17,4.171,23.6,23.6,23.7,17,0.0147
18,4.1705,23.7,23.7,23.7,18,0.0147
19,4.1705,23.7,23.7,23.7,19,0.0148
20,4.1705,23.6,23.7,23.7,20,0.0148
21,4.17,23.6,23.6,23.7,21,0.0149
22,4.171,23.6,23.6,23.7,22,0.0149
23,4.1705,23.7,23.7,23.7,23,0.015
24,4.171,23.6,23.7,23.7,24,0.0151
25,4.1705,23.6,23.6,23.7,25,0.0151
26,4.1705,23.5,23.6,23.7,26,0.0149
27,4.1705,23.5,23.5,23.6,27,0.0149
28,4.171,23.6,23.7,23.7,28,0.0147
29,4.171,23.6,23.7,23.7,29,0.0148
30,4.17,23.5,23.6,23.7,30,0.0148
31,4.17,23.4,23.5,23.7,31,0.0147
32,4.17,23.5,23.6,23.7,32,0.0146
33,4.1705,23.6,23.6,23.7,33,0.0145
34,4.1705,23.4,23.5,23.6,34,0.0146
35,4.17,23.5,23.5,23.7,35,0.0146
36,4.1705,23.5,23.6,23.7,36,0.0145
37,4.171,23.6,23.7,23.7,37,0.0145
38,4.1705,23.6,23.7,23.7,38,0.0145
39,4.17,23.5,23.5,23.7,39,0.0143
40,4.1705,23.6,23.6,23.7,40,0.0141
41,4.171,23.6,23.7,23.7,41,0.014
42,4.1705,23.6,23.7,23.7,42,0.0144
43,4.1705,23.6,23.6,23.7,43,0.0142
44,4.17,23.5,23.6,23.7,44,0.0143
45,4.171,23.6,23.7,23.7,45,0.0143
46,4.171,23.7,23.7,23.7,46,0.014
47,4.1705,23.6,23.7,23.7,47,0.014
48,4.17,23.6,23.6,23.7,48,0.0139
49,4.17,23.5,23.6,23.7,49,0.0141
50,4.17,23.4,23.5,23.6,50,0.014
51,4.1705,23.7,23.7,23.7,51,0.014
52,4.1705,23.6,23.7,23.7,52,0.0138
