
Step 0, Minibatch Loss= 1198.629761, Training Accuracy= 0.086555

Step 100, Minibatch Loss= 2.567581, Training Accuracy= 0.982353

Step 200, Minibatch Loss= 1.312613, Training Accuracy= 0.982353

Step 300, Minibatch Loss= 1.254662, Training Accuracy= 0.982353

Step 400, Minibatch Loss= 1.497321, Training Accuracy= 0.982353

Step 500, Minibatch Loss= 1.026402, Training Accuracy= 0.982353

Step 600, Minibatch Loss= 1.393566, Training Accuracy= 0.982353

Step 700, Minibatch Loss= 1.371502, Training Accuracy= 0.982353

Step 800, Minibatch Loss= 1.514396, Training Accuracy= 0.982353

Step 900, Minibatch Loss= 1.363985, Training Accuracy= 0.982353

Step 1000, Minibatch Loss= 1.350638, Training Accuracy= 0.982353

Step 1100, Minibatch Loss= 1.459349, Training Accuracy= 0.982353

Step 1200, Minibatch Loss= 1.349352, Training Accuracy= 0.982353

Step 1300, Minibatch Loss= 0.967598, Training Accuracy= 0.982353

Step 1400, Minibatch Loss= 1.294722, Training Accuracy= 0.982353

Step 1500, Minibatch Loss= 1.054387, Training Accuracy= 0.982353

Step 1600, Minibatch Loss= 1.186298, Training Accuracy= 0.982353

Step 1700, Minibatch Loss= 1.107355, Training Accuracy= 0.982353

Step 1800, Minibatch Loss= 1.021530, Training Accuracy= 0.982353

Step 1900, Minibatch Loss= 1.159810, Training Accuracy= 0.982353

Step 2000, Minibatch Loss= 1.311196, Training Accuracy= 0.982353

Step 2100, Minibatch Loss= 1.070114, Training Accuracy= 0.981933

Step 2200, Minibatch Loss= 1.175213, Training Accuracy= 0.982353

Step 2300, Minibatch Loss= 1.016425, Training Accuracy= 0.982353

Step 2400, Minibatch Loss= 1.267973, Training Accuracy= 0.982353

Step 2500, Minibatch Loss= 1.039763, Training Accuracy= 0.981513

Step 2600, Minibatch Loss= 1.090255, Training Accuracy= 0.982353

Step 2700, Minibatch Loss= 1.064400, Training Accuracy= 0.982353

Step 2800, Minibatch Loss= 1.168941, Training Accuracy= 0.981513

Step 2900, Minibatch Loss= 1.080253, Training Accuracy= 0.981933

Step 3000, Minibatch Loss= 0.795603, Training Accuracy= 0.981933

Step 3100, Minibatch Loss= 1.169654, Training Accuracy= 0.981513

Step 3200, Minibatch Loss= 1.063676, Training Accuracy= 0.981933

Step 3300, Minibatch Loss= 1.007322, Training Accuracy= 0.982353

Step 3400, Minibatch Loss= 1.203632, Training Accuracy= 0.982353

Step 3500, Minibatch Loss= 1.169007, Training Accuracy= 0.982353

Step 3600, Minibatch Loss= 0.916588, Training Accuracy= 0.982353

Step 3700, Minibatch Loss= 0.916894, Training Accuracy= 0.982353

Step 3800, Minibatch Loss= 1.160488, Training Accuracy= 0.981933

Step 3900, Minibatch Loss= 0.825202, Training Accuracy= 0.982353

Step 4000, Minibatch Loss= 0.980969, Training Accuracy= 0.982353

Step 4100, Minibatch Loss= 0.943308, Training Accuracy= 0.982353

Step 4200, Minibatch Loss= 0.967813, Training Accuracy= 0.982353

Step 4300, Minibatch Loss= 0.911815, Training Accuracy= 0.982353

Step 4400, Minibatch Loss= 0.992123, Training Accuracy= 0.982353

Step 4500, Minibatch Loss= 1.073523, Training Accuracy= 0.982353

